Epoch:0001 train loss:1.950 acc:13.57 | val loss:1.933 acc:16.20
Epoch:0002 train loss:1.946 acc:14.29 | val loss:1.935 acc:16.20
Epoch:0003 train loss:1.941 acc:15.00 | val loss:1.937 acc:16.20
Epoch:0004 train loss:1.942 acc:14.29 | val loss:1.939 acc:16.20
Epoch:0005 train loss:1.939 acc:15.00 | val loss:1.940 acc:16.20
Epoch:0006 train loss:1.934 acc:15.00 | val loss:1.940 acc:16.20
Epoch:0007 train loss:1.930 acc:18.57 | val loss:1.940 acc:16.80
Epoch:0008 train loss:1.935 acc:17.14 | val loss:1.939 acc:19.60
Epoch:0009 train loss:1.928 acc:19.29 | val loss:1.937 acc:24.60
Epoch:0010 train loss:1.930 acc:23.57 | val loss:1.934 acc:33.40
Epoch:0011 train loss:1.921 acc:24.29 | val loss:1.931 acc:34.80
Epoch:0012 train loss:1.927 acc:25.71 | val loss:1.928 acc:34.20
Epoch:0013 train loss:1.911 acc:29.29 | val loss:1.924 acc:35.40
Epoch:0014 train loss:1.907 acc:32.86 | val loss:1.920 acc:37.20
Epoch:0015 train loss:1.904 acc:32.86 | val loss:1.917 acc:43.00
Epoch:0016 train loss:1.905 acc:31.43 | val loss:1.912 acc:47.20
Epoch:0017 train loss:1.891 acc:32.86 | val loss:1.908 acc:49.20
Epoch:0018 train loss:1.885 acc:37.14 | val loss:1.904 acc:50.80
Epoch:0019 train loss:1.878 acc:35.00 | val loss:1.899 acc:51.80
Epoch:0020 train loss:1.880 acc:37.14 | val loss:1.894 acc:53.60
Epoch:0021 train loss:1.895 acc:31.43 | val loss:1.889 acc:54.40
Epoch:0022 train loss:1.858 acc:36.43 | val loss:1.885 acc:55.20
Epoch:0023 train loss:1.853 acc:34.29 | val loss:1.880 acc:56.60
Epoch:0024 train loss:1.857 acc:37.86 | val loss:1.875 acc:63.40
Epoch:0025 train loss:1.853 acc:34.29 | val loss:1.869 acc:66.60
Epoch:0026 train loss:1.828 acc:46.43 | val loss:1.863 acc:68.80
Epoch:0027 train loss:1.852 acc:36.43 | val loss:1.857 acc:72.40
Epoch:0028 train loss:1.859 acc:29.29 | val loss:1.851 acc:74.60
Epoch:0029 train loss:2.092 acc:32.86 | val loss:1.844 acc:75.60
Epoch:0030 train loss:1.802 acc:42.86 | val loss:1.838 acc:75.40
Epoch:0031 train loss:1.829 acc:41.43 | val loss:1.831 acc:75.60
Epoch:0032 train loss:1.787 acc:42.86 | val loss:1.824 acc:75.60
Epoch:0033 train loss:1.815 acc:35.71 | val loss:1.817 acc:75.20
Epoch:0034 train loss:1.776 acc:45.71 | val loss:1.809 acc:75.20
Epoch:0035 train loss:1.780 acc:45.00 | val loss:1.802 acc:75.40
Epoch:0036 train loss:1.804 acc:39.29 | val loss:1.797 acc:75.80
Epoch:0037 train loss:1.749 acc:50.00 | val loss:1.790 acc:76.20
Epoch:0038 train loss:1.792 acc:45.00 | val loss:1.784 acc:76.60
Epoch:0039 train loss:1.803 acc:40.71 | val loss:1.778 acc:75.20
Epoch:0040 train loss:1.772 acc:45.71 | val loss:1.772 acc:75.20
Epoch:0041 train loss:1.712 acc:49.29 | val loss:1.765 acc:75.40
Epoch:0042 train loss:1.727 acc:47.86 | val loss:1.759 acc:74.80
Epoch:0043 train loss:1.697 acc:50.00 | val loss:1.753 acc:75.20
Epoch:0044 train loss:1.678 acc:51.43 | val loss:1.747 acc:74.80
Epoch:0045 train loss:1.693 acc:46.43 | val loss:1.740 acc:73.80
Epoch:0046 train loss:1.701 acc:53.57 | val loss:1.733 acc:71.40
Epoch:0047 train loss:1.655 acc:45.71 | val loss:1.726 acc:72.00
Epoch:0048 train loss:1.745 acc:48.57 | val loss:1.717 acc:72.60
Epoch:0049 train loss:1.669 acc:50.00 | val loss:1.709 acc:73.60
Epoch:0050 train loss:1.699 acc:44.29 | val loss:1.702 acc:73.80
Epoch:0051 train loss:1.603 acc:55.71 | val loss:1.694 acc:73.60
Epoch:0052 train loss:1.607 acc:47.86 | val loss:1.684 acc:75.20
Epoch:0053 train loss:1.632 acc:55.00 | val loss:1.674 acc:76.20
Epoch:0054 train loss:1.621 acc:49.29 | val loss:1.664 acc:76.80
Epoch:0055 train loss:1.611 acc:50.71 | val loss:1.653 acc:77.80
Epoch:0056 train loss:1.623 acc:47.86 | val loss:1.642 acc:77.80
Epoch:0057 train loss:1.571 acc:58.57 | val loss:1.631 acc:78.20
